点名,X坐标,Y坐标,H高程,日期,时间
TS0001,0.0000,0.0000,0.0000,2020-10-30,10:33:25.020
TS0002,11.9971,0.0000,-0.4191,2020-10-30,10:33:35.330
TS,1.2769,5.1289,1.0679,2020-10-30,10:33:37.530
TS_Auto_42,9.4370,3.5769,-0.5091,2020-10-30,10:35:52.870
TS_Auto_42,9.4371,3.5769,-0.5091,2020-10-30,10:35:53.000
TS_Auto_42,9.4372,3.5769,-0.5091,2020-10-30,10:35:53.100
TS_Auto_42,9.4372,3.5769,-0.5091,2020-10-30,10:35:53.210
TS_Auto_42,9.4372,3.5769,-0.5092,2020-10-30,10:35:53.330
TS_Auto_42,9.4371,3.5769,-0.5091,2020-10-30,10:35:53.460
TS_Auto_42,9.4372,3.5769,-0.5091,2020-10-30,10:35:53.590
TS_Auto_42,9.4371,3.5769,-0.5091,2020-10-30,10:35:53.760
TS_Auto_42,9.4372,3.5769,-0.5091,2020-10-30,10:35:53.900
TS_Auto_42,9.4371,3.5769,-0.5091,2020-10-30,10:35:54.060
TS_Auto_42,9.4371,3.5769,-0.5091,2020-10-30,10:35:54.180
TS_Auto_42,9.4371,3.5769,-0.5091,2020-10-30,10:35:54.320
TS_Auto_42,9.4372,3.5769,-0.5091,2020-10-30,10:35:54.430
TS_Auto_42,9.4371,3.5769,-0.5092,2020-10-30,10:35:54.540
TS_Auto_42,9.4372,3.5768,-0.5092,2020-10-30,10:35:54.720
TS_Auto_42,9.4371,3.5769,-0.5092,2020-10-30,10:35:54.860
TS_Auto_42,9.4371,3.5769,-0.5091,2020-10-30,10:35:55.000
TS_Auto_42,9.4371,3.5769,-0.5091,2020-10-30,10:35:55.140
TS_Auto_42,9.4372,3.5769,-0.5091,2020-10-30,10:35:55.270
TS_Auto_42,9.4372,3.5769,-0.5091,2020-10-30,10:35:55.380
TS_Auto_42,9.4373,3.5769,-0.5092,2020-10-30,10:35:55.500
TS_Auto_42,9.4370,3.5769,-0.5091,2020-10-30,10:35:55.600
TS_Auto_42,9.4372,3.5769,-0.5091,2020-10-30,10:35:55.740
TS_Auto_42,9.4371,3.5769,-0.5091,2020-10-30,10:35:55.890
TS_Auto_42,9.4372,3.5769,-0.5091,2020-10-30,10:35:56.020
TS_Auto_42,9.4371,3.5769,-0.5091,2020-10-30,10:35:56.120
TS_Auto_42,9.4372,3.5769,-0.5091,2020-10-30,10:35:56.250
TS_Auto_42,9.4372,3.5769,-0.5091,2020-10-30,10:35:56.360
TS_Auto_42,9.4370,3.5769,-0.5091,2020-10-30,10:35:56.490
TS_Auto_42,9.4371,3.5769,-0.5091,2020-10-30,10:35:56.600
TS_Auto_42,9.4372,3.5769,-0.5091,2020-10-30,10:35:56.700
TS_Auto_42,9.4371,3.5769,-0.5091,2020-10-30,10:35:56.850
TS_Auto_42,9.4372,3.5769,-0.5092,2020-10-30,10:35:56.980
TS_Auto_42,9.4370,3.5769,-0.5091,2020-10-30,10:35:57.110
TS_Auto_42,9.4372,3.5769,-0.5091,2020-10-30,10:35:57.230
TS_Auto_42,9.4372,3.5769,-0.5091,2020-10-30,10:35:57.370
TS_Auto_42,9.4371,3.5769,-0.5091,2020-10-30,10:35:57.470
TS_Auto_42,9.4372,3.5769,-0.5092,2020-10-30,10:35:57.650
TS_Auto_42,9.4371,3.5769,-0.5092,2020-10-30,10:35:57.780
TS_Auto_42,9.4370,3.5769,-0.5091,2020-10-30,10:35:57.950
TS_Auto_42,9.4369,3.5769,-0.5091,2020-10-30,10:35:58.070
TS_Auto_42,9.4371,3.5769,-0.5091,2020-10-30,10:35:58.200
TS_Auto_42,9.4372,3.5769,-0.5091,2020-10-30,10:35:58.310
TS_Auto_42,9.4371,3.5769,-0.5091,2020-10-30,10:35:58.460
TS_Auto_42,9.4372,3.5768,-0.5091,2020-10-30,10:35:58.720
TS_Auto_42,9.4370,3.5770,-0.5091,2020-10-30,10:35:58.840
TS_Auto_42,9.4369,3.5769,-0.5090,2020-10-30,10:35:59.020
TS_Auto_42,9.4369,3.5769,-0.5091,2020-10-30,10:35:59.150
TS_Auto_42,9.4370,3.5768,-0.5091,2020-10-30,10:35:59.290
TS_Auto_42,9.4370,3.5770,-0.5091,2020-10-30,10:35:59.420
TS_Auto_42,9.4370,3.5769,-0.5091,2020-10-30,10:35:59.570
TS_Auto_42,9.4370,3.5768,-0.5091,2020-10-30,10:35:59.700
TS_Auto_42,9.4369,3.5769,-0.5091,2020-10-30,10:35:59.910
TS_Auto_42,9.4371,3.5768,-0.5091,2020-10-30,10:36:0.080
TS_Auto_42,9.4372,3.5768,-0.5091,2020-10-30,10:36:0.180
TS_Auto_42,9.4370,3.5768,-0.5091,2020-10-30,10:36:0.310
TS_Auto_42,9.4370,3.5768,-0.5091,2020-10-30,10:36:0.450
TS_Auto_42,9.4370,3.5769,-0.5091,2020-10-30,10:36:0.570
TS_Auto_42,9.4370,3.5768,-0.5091,2020-10-30,10:36:0.680
TS_Auto_42,9.4370,3.5769,-0.5090,2020-10-30,10:36:0.820
TS_Auto_42,9.4371,3.5769,-0.5090,2020-10-30,10:36:0.920
TS_Auto_42,9.4369,3.5770,-0.5090,2020-10-30,10:36:1.060
TS_Auto_42,9.4370,3.5769,-0.5090,2020-10-30,10:36:1.200
TS_Auto_42,9.4369,3.5769,-0.5090,2020-10-30,10:36:1.320
TS_Auto_42,9.4372,3.5768,-0.5091,2020-10-30,10:36:1.510
TS_Auto_42,9.4372,3.5769,-0.5091,2020-10-30,10:36:1.630
TS_Auto_42,9.4371,3.5768,-0.5090,2020-10-30,10:36:1.770
TS_Auto_42,9.4371,3.5770,-0.5090,2020-10-30,10:36:1.980
TS_Auto_42,9.4370,3.5770,-0.5090,2020-10-30,10:36:2.120
TS_Auto_42,9.4371,3.5768,-0.5090,2020-10-30,10:36:2.270
TS_Auto_42,9.4373,3.5771,-0.5090,2020-10-30,10:36:2.450
TS_Auto_42,9.4372,3.5770,-0.5090,2020-10-30,10:36:2.660
TS_Auto_42,9.4371,3.5770,-0.5090,2020-10-30,10:36:2.810
TS_Auto_42,9.4371,3.5769,-0.5090,2020-10-30,10:36:2.960
TS_Auto_42,9.4372,3.5769,-0.5090,2020-10-30,10:36:3.110
TS_Auto_42,9.4372,3.5768,-0.5090,2020-10-30,10:36:3.230
TS_Auto_42,9.4373,3.5767,-0.5090,2020-10-30,10:36:3.380
TS_Auto_42,9.4370,3.5769,-0.5090,2020-10-30,10:36:3.520
TS_Auto_42,9.4373,3.5770,-0.5089,2020-10-30,10:36:3.640
TS_Auto_42,9.4372,3.5769,-0.5090,2020-10-30,10:36:3.770
TS_Auto_42,9.4373,3.5770,-0.5090,2020-10-30,10:36:3.920
TS_Auto_42,9.4371,3.5770,-0.5089,2020-10-30,10:36:4.070
TS_Auto_42,9.4373,3.5770,-0.5090,2020-10-30,10:36:4.210
TS_Auto_42,9.4372,3.5771,-0.5090,2020-10-30,10:36:4.330
TS_Auto_42,9.4372,3.5771,-0.5089,2020-10-30,10:36:4.460
TS_Auto_42,9.4371,3.5769,-0.5083,2020-10-30,10:36:4.640
TS_Auto_42,9.4371,3.5770,-0.5079,2020-10-30,10:36:4.770
TS_Auto_42,9.4374,3.5767,-0.5062,2020-10-30,10:36:4.890
TS_Auto_42,9.4363,3.5687,-0.4804,2020-10-30,10:36:5.060
TS_Auto_42,9.4564,3.5545,-0.3795,2020-10-30,10:36:5.200
TS_Auto_42,9.4704,3.5488,-0.3138,2020-10-30,10:36:5.390
TS_Auto_42,9.5440,3.5201,-0.0881,2020-10-30,10:36:5.670
TS_Auto_42,9.5752,3.5110,-0.0110,2020-10-30,10:36:5.830
TS_Auto_42,9.6342,3.4951,0.1260,2020-10-30,10:36:5.950
TS_Auto_42,9.6438,3.4927,0.1495,2020-10-30,10:36:6.090
TS_Auto_42,9.7089,3.4789,0.3073,2020-10-30,10:36:6.360
TS_Auto_42,9.7475,3.4755,0.3954,2020-10-30,10:36:6.510
TS_Auto_42,9.7798,3.4749,0.4625,2020-10-30,10:36:6.650
TS_Auto_42,9.8023,3.4746,0.5076,2020-10-30,10:36:6.750
TS_Auto_42,9.8254,3.4740,0.5520,2020-10-30,10:36:6.860
TS_Auto_42,9.8746,3.4685,0.6647,2020-10-30,10:36:7.100
TS_Auto_42,9.8843,3.4642,0.7700,2020-10-30,10:36:7.240
TS_Auto_42,9.8941,3.4547,0.7915,2020-10-30,10:36:7.480
TS_Auto_42,9.9023,3.4481,0.7953,2020-10-30,10:36:7.600
TS_Auto_42,9.9372,3.4248,0.8035,2020-10-30,10:36:7.780
TS_Auto_42,9.9543,3.4107,0.8071,2020-10-30,10:36:7.990
TS_Auto_42,9.9618,3.3920,0.8125,2020-10-30,10:36:8.270
TS_Auto_42,9.9637,3.3844,0.8144,2020-10-30,10:36:8.390
TS_Auto_42,9.9655,3.3721,0.8215,2020-10-30,10:36:8.530
TS_Auto_42,9.9541,3.3721,0.8406,2020-10-30,10:36:8.920
TS_Auto_42,9.9421,3.3769,0.8489,2020-10-30,10:36:9.080
TS_Auto_42,9.9316,3.3818,0.8535,2020-10-30,10:36:9.210
TS_Auto_42,9.9041,3.3985,0.8635,2020-10-30,10:36:9.380
TS_Auto_42,9.8911,3.4078,0.8699,2020-10-30,10:36:9.480
TS_Auto_42,9.8528,3.4384,0.8890,2020-10-30,10:36:9.610
TS_Auto_42,9.8207,3.4666,0.9051,2020-10-30,10:36:9.810
TS_Auto_42,9.7928,3.4897,0.9170,2020-10-30,10:36:9.960
TS_Auto_42,9.7717,3.5065,0.9253,2020-10-30,10:36:10.070
TS_Auto_42,9.7496,3.5232,0.9336,2020-10-30,10:36:10.180
TS_Auto_42,9.6942,3.5660,0.9565,2020-10-30,10:36:10.290
TS_Auto_42,9.6738,3.5823,0.9644,2020-10-30,10:36:10.390
TS_Auto_42,9.6539,3.5983,0.9726,2020-10-30,10:36:10.540
TS_Auto_42,9.6063,3.6390,0.9973,2020-10-30,10:36:10.690
TS_Auto_42,9.5905,3.6535,1.0072,2020-10-30,10:36:10.840
TS_Auto_42,9.5500,3.6897,1.0341,2020-10-30,10:36:11.010
TS_Auto_42,9.5237,3.7115,1.0510,2020-10-30,10:36:11.140
TS_Auto_42,9.5048,3.7267,1.0633,2020-10-30,10:36:11.240
TS_Auto_42,9.4863,3.7409,1.0750,2020-10-30,10:36:11.380
TS_Auto_42,9.4521,3.7669,1.0972,2020-10-30,10:36:11.520
TS_Auto_42,9.4207,3.7922,1.1190,2020-10-30,10:36:11.690
TS_Auto_42,9.3923,3.8150,1.1401,2020-10-30,10:36:11.870
TS_Auto_42,9.3660,3.8357,1.1625,2020-10-30,10:36:12.010
TS_Auto_42,9.3476,3.8492,1.1805,2020-10-30,10:36:12.160
TS_Auto_42,9.3249,3.8648,1.2108,2020-10-30,10:36:12.260
TS_Auto_42,9.3078,3.8742,1.2371,2020-10-30,10:36:12.410
TS_Auto_42,9.2966,3.8799,1.2561,2020-10-30,10:36:12.550
TS_Auto_42,9.2717,3.8889,1.2994,2020-10-30,10:36:12.730
TS_Auto_42,9.2533,3.8929,1.3366,2020-10-30,10:36:12.870
TS_Auto_42,9.2369,3.8926,1.3777,2020-10-30,10:36:13.040
TS_Auto_42,9.2229,3.8882,1.4228,2020-10-30,10:36:13.260
TS_Auto_42,9.2138,3.8794,1.4705,2020-10-30,10:36:13.390
TS_Auto_42,9.2051,3.8678,1.5156,2020-10-30,10:36:13.630
TS_Auto_42,9.1884,3.8557,1.5677,2020-10-30,10:36:13.750
TS_Auto_42,9.1841,3.8521,1.5786,2020-10-30,10:36:13.930
TS_Auto_42,9.1663,3.8411,1.6225,2020-10-30,10:36:14.080
TS_Auto_42,9.1565,3.8374,1.6434,2020-10-30,10:36:14.360
TS_Auto_42,9.1174,3.8468,1.7206,2020-10-30,10:36:14.490
TS_Auto_42,9.0902,3.8823,1.7786,2020-10-30,10:36:14.720
TS_Auto_42,9.0902,3.8823,1.7786,2020-10-30,10:36:14.850
TS_Auto_42,9.0698,3.9262,1.8292,2020-10-30,10:36:14.990
TS_Auto_42,9.0465,3.9805,1.8812,2020-10-30,10:36:15.170
TS_Auto_42,9.0357,4.0019,1.9006,2020-10-30,10:36:15.280
TS_Auto_42,9.0028,4.0513,1.9508,2020-10-30,10:36:15.400
TS_Auto_42,8.9880,4.0683,1.9712,2020-10-30,10:36:15.530
TS_Auto_42,8.9543,4.1005,2.0132,2020-10-30,10:36:15.680
TS_Auto_42,8.9257,4.1241,2.0471,2020-10-30,10:36:15.830
TS_Auto_42,8.9052,4.1399,2.0710,2020-10-30,10:36:15.940
TS_Auto_42,8.8855,4.1549,2.0933,2020-10-30,10:36:16.040
TS_Auto_42,8.8640,4.1703,2.1167,2020-10-30,10:36:16.160
TS_Auto_42,8.8104,4.2047,2.1736,2020-10-30,10:36:16.280
TS_Auto_42,8.7871,4.2160,2.1957,2020-10-30,10:36:16.410
TS_Auto_42,8.7317,4.2411,2.2534,2020-10-30,10:36:16.570
TS_Auto_42,8.7097,4.2498,2.2759,2020-10-30,10:36:16.740
TS_Auto_42,8.6499,4.2698,2.3349,2020-10-30,10:36:16.960
TS_Auto_42,8.6159,4.2780,2.3658,2020-10-30,10:36:17.060
TS_Auto_42,8.5710,4.2854,2.4119,2020-10-30,10:36:17.170
TS_Auto_42,8.5498,4.2876,2.4340,2020-10-30,10:36:17.360
TS_Auto_42,8.4982,4.2877,2.4866,2020-10-30,10:36:17.540
TS_Auto_42,8.4519,4.2799,2.5380,2020-10-30,10:36:17.690
TS_Auto_42,8.4282,4.2728,2.5701,2020-10-30,10:36:17.850
TS_Auto_42,8.4026,4.2608,2.6143,2020-10-30,10:36:18.010
TS_Auto_42,8.3848,4.2464,2.6611,2020-10-30,10:36:18.210
TS_Auto_42,8.3746,4.2341,2.6969,2020-10-30,10:36:18.370
TS_Auto_42,8.3687,4.2250,2.7213,2020-10-30,10:36:18.480
TS_Auto_42,8.3582,4.2003,2.7805,2020-10-30,10:36:18.660
TS_Auto_42,8.3554,4.1888,2.8052,2020-10-30,10:36:18.780
TS_Auto_42,8.3510,4.1530,2.8693,2020-10-30,10:36:18.940
TS_Auto_42,8.3535,4.1221,2.9203,2020-10-30,10:36:19.110
TS_Auto_42,8.3656,4.0918,2.9838,2020-10-30,10:36:19.380
TS_Auto_42,8.3876,4.0851,3.0436,2020-10-30,10:36:19.520
TS_Auto_42,8.3994,4.0891,3.0668,2020-10-30,10:36:19.700
TS_Auto_42,8.4124,4.0968,3.0885,2020-10-30,10:36:19.870
TS_Auto_42,8.4666,4.1503,3.1614,2020-10-30,10:36:19.970
TS_Auto_42,8.4831,4.1723,3.1827,2020-10-30,10:36:20.080
TS_Auto_42,8.5107,4.2113,3.2155,2020-10-30,10:36:20.210
TS_Auto_42,8.5501,4.2732,3.2604,2020-10-30,10:36:20.390
TS_Auto_42,8.5825,4.3274,3.2955,2020-10-30,10:36:20.540
TS_Auto_42,8.6407,4.4298,3.3520,2020-10-30,10:36:20.690
TS_Auto_42,8.6668,4.4779,3.3754,2020-10-30,10:36:20.800
TS_Auto_42,8.7078,4.5513,3.4054,2020-10-30,10:36:20.940
TS_Auto_42,8.7690,4.6548,3.4371,2020-10-30,10:36:21.150
TS_Auto_42,8.7991,4.7017,3.4502,2020-10-30,10:36:21.270
TS_Auto_42,8.8758,4.8102,3.4792,2020-10-30,10:36:21.470
TS_Auto_42,8.9378,4.8913,3.5009,2020-10-30,10:36:21.640
TS_Auto_42,8.9834,4.9497,3.5194,2020-10-30,10:36:21.760
TS_Auto_42,9.0181,4.9880,3.5325,2020-10-30,10:36:21.870
TS_Auto_42,9.1237,5.0711,3.5634,2020-10-30,10:36:22.090
TS_Auto_42,9.2357,5.1312,3.5865,2020-10-30,10:36:22.200
TS_Auto_42,9.3341,5.1720,3.6036,2020-10-30,10:36:22.320
TS_Auto_42,9.4078,5.1970,3.6156,2020-10-30,10:36:22.440
TS_Auto_42,9.5939,5.2473,3.6461,2020-10-30,10:36:22.660
TS_Auto_42,9.7675,5.2748,3.6758,2020-10-30,10:36:22.880
TS_Auto_42,9.8327,5.2775,3.6873,2020-10-30,10:36:22.980
TS_Auto_42,9.9030,5.2733,3.7011,2020-10-30,10:36:23.100
TS_Auto_42,9.9688,5.2633,3.7151,2020-10-30,10:36:23.300
TS_Auto_42,10.1367,5.2358,3.7498,2020-10-30,10:36:23.420
TS_Auto_42,10.3015,5.2073,3.7792,2020-10-30,10:36:23.530
TS_Auto_42,10.3663,5.1943,3.7912,2020-10-30,10:36:23.690
TS_Auto_42,10.4642,5.1743,3.8096,2020-10-30,10:36:23.850
TS_Auto_42,10.6968,5.1172,3.8481,2020-10-30,10:36:24.040
TS_Auto_42,10.8318,5.0810,3.8690,2020-10-30,10:36:24.200
TS_Auto_42,10.9372,5.0546,3.8856,2020-10-30,10:36:24.360
TS_Auto_42,11.0422,5.0291,3.9025,2020-10-30,10:36:24.460
TS_Auto_42,11.0762,5.0211,3.9084,2020-10-30,10:36:24.580
TS_Auto_42,11.1835,4.9969,3.9274,2020-10-30,10:36:24.690
TS_Auto_42,11.2524,4.9813,3.9403,2020-10-30,10:36:24.880
TS_Auto_42,11.4938,4.9261,3.9867,2020-10-30,10:36:25.020
TS_Auto_42,11.5661,4.9107,4.0021,2020-10-30,10:36:25.150
TS_Auto_42,11.7384,4.8750,4.0391,2020-10-30,10:36:25.360
TS_Auto_42,11.8046,4.8604,4.0530,2020-10-30,10:36:25.470
TS_Auto_42,12.0107,4.8090,4.0930,2020-10-30,10:36:25.730
TS_Auto_42,12.1464,4.7743,4.1167,2020-10-30,10:36:25.940
TS_Auto_42,12.2851,4.7421,4.1423,2020-10-30,10:36:26.040
TS_Auto_42,12.4686,4.7036,4.1766,2020-10-30,10:36:26.220
TS_Auto_42,12.5440,4.6873,4.1913,2020-10-30,10:36:26.370
TS_Auto_42,12.7376,4.6524,4.2277,2020-10-30,10:36:26.530
TS_Auto_42,12.8630,4.6364,4.2485,2020-10-30,10:36:26.640
TS_Auto_42,12.9040,4.6330,4.2552,2020-10-30,10:36:26.760
TS_Auto_42,13.1638,4.6267,4.2963,2020-10-30,10:36:26.940
TS_Auto_42,13.2060,4.6283,4.3029,2020-10-30,10:36:27.050
TS_Auto_42,13.3947,4.6357,4.3336,2020-10-30,10:36:27.160
TS_Auto_42,13.4416,4.6384,4.3412,2020-10-30,10:36:27.260
TS_Auto_42,13.6792,4.6583,4.3794,2020-10-30,10:36:27.440
TS_Auto_42,13.7797,4.6707,4.3958,2020-10-30,10:36:27.540
TS_Auto_42,14.0321,4.7072,4.4363,2020-10-30,10:36:27.720
TS_Auto_42,14.1370,4.7236,4.4521,2020-10-30,10:36:27.840
TS_Auto_42,14.2953,4.7458,4.4775,2020-10-30,10:36:27.960
TS_Auto_42,14.4029,4.7597,4.4939,2020-10-30,10:36:28.070
TS_Auto_42,14.6652,4.7884,4.5333,2020-10-30,10:36:28.350
TS_Auto_42,14.8818,4.8068,4.5655,2020-10-30,10:36:28.490
TS_Auto_42,15.0444,4.8190,4.5890,2020-10-30,10:36:28.610
TS_Auto_42,15.3098,4.8301,4.6300,2020-10-30,10:36:28.860
TS_Auto_42,15.5222,4.8347,4.6649,2020-10-30,10:36:28.960
TS_Auto_42,15.7788,4.8390,4.7071,2020-10-30,10:36:29.210
TS_Auto_42,15.9825,4.8423,4.7404,2020-10-30,10:36:29.390
TS_Auto_42,16.1277,4.8446,4.7644,2020-10-30,10:36:29.490
TS_Auto_42,16.3254,4.8486,4.7996,2020-10-30,10:36:29.590
TS_Auto_42,16.4683,4.8567,4.8251,2020-10-30,10:36:29.740
TS_Auto_42,16.5571,4.8599,4.8416,2020-10-30,10:36:29.900
TS_Auto_42,16.6947,4.8567,4.8678,2020-10-30,10:36:30.010
TS_Auto_42,16.8695,4.8411,4.9008,2020-10-30,10:36:30.130
TS_Auto_42,16.9966,4.8254,4.9254,2020-10-30,10:36:30.300
TS_Auto_42,17.1215,4.8081,4.9497,2020-10-30,10:36:30.410
TS_Auto_42,17.2868,4.7838,4.9830,2020-10-30,10:36:30.520
TS_Auto_42,17.4027,4.7670,5.0073,2020-10-30,10:36:30.670
TS_Auto_42,17.6312,4.7281,5.0550,2020-10-30,10:36:30.950
TS_Auto_42,17.7086,4.7137,5.0698,2020-10-30,10:36:31.110
TS_Auto_42,17.8283,4.6915,5.0914,2020-10-30,10:36:31.320
