x,y,z,speed,acceleration,curvature,curvature_change_rate,time,theta,gear,s,throttle,brake,steering
336863.115821, 3449336.48016, 14.9829559461, 0.00999999977648, 1.00045549037, 0.0, 0.0, 1600653221.3017, -2.65756978132, 1, 9.99999977648e-05, 16.0, 0.0, 0.0
336863.112989, 3449336.4786, 14.9829549456, 0.00999999977648, 1.05123101241, 0.0, 0.0, 1600653221.3115, -2.65761040071, 1, 0.00019999999553, 16.0, 0.0, 0.0
336863.110068, 3449336.47697, 14.9829590432, 0.00999999977648, 1.05707526479, 0.0, 0.0, 1600653221.3216, -2.65762567234, 1, 0.000299999993294, 16.0, 0.0, 0.0
336863.107058, 3449336.4753, 14.9829913367, 0.00999999977648, 1.16455067281, 0.0, 0.0, 1600653221.3315, -2.65763757224, 1, 0.000399999991059, 16.0, 0.0, 0.0
336863.103948, 3449336.47358, 14.9830249962, 0.0399999991059, 1.10160751507, 0.0, 0.0, 1600653221.3416, -2.65765282094, 1, 0.000799999982119, 16.0, 0.0, 0.0
336863.100741, 3449336.47181, 14.9830584312, 0.0399999991059, 1.08643631462, 0.0, 0.0, 1600653221.3515, -2.65767522599, 1, 0.00119999997318, 16.0, 0.0, 0.0
336863.097436, 3449336.46999, 14.9830820605, 0.0399999991059, 1.09067260177, 0.0, 0.0, 1600653221.3615, -2.65769358636, 1, 0.00159999996424, 16.0, 0.0, 0.0
336863.09403, 3449336.46812, 14.9830983314, 0.0399999991059, 1.18770871887, 0.0, 0.0, 1600653221.3715, -2.65767708849, 1, 0.0019999999553, 16.0, 0.0, 0.0
336863.090517, 3449336.46619, 14.9831120799, 0.0799999982119, 1.17783133023, 0.0, 0.0, 1600653221.3814, -2.65768387437, 1, 0.00279999993742, 16.0, 0.0, 0.0
336863.086895, 3449336.46422, 14.983127973, 0.0799999982119, 1.22002217316, 0.0, 0.0, 1600653221.3916, -2.65767165392, 1, 0.00359999991953, 16.0, 0.0, 0.0
336863.083168, 3449336.46219, 14.983136973, 0.0799999982119, 1.10235607585, 0.0, 0.0, 1600653221.4016, -2.65766459551, 1, 0.00439999990165, 16.0, 0.0, 0.0
336863.07934, 3449336.46011, 14.9831310877, 0.0799999982119, 1.21625516593, 0.0, 0.0, 1600653221.4116, -2.65766592992, 1, 0.00519999988377, 16.0, 0.0, 0.0
336863.075406, 3449336.45797, 14.9831218657, 0.119999997318, 1.23006049136, 0.0, 0.0, 1600653221.4229, -2.65767897776, 1, 0.00639999985695, 15.0, 0.0, 0.0
336863.071799, 3449336.45626, 14.9842525892, 0.119999997318, 1.13208464452, 0.0, 0.0, 1600653221.4318, -2.65756024808, 1, 0.00759999983013, 15.0, 0.0, 0.0
336863.067654, 3449336.45402, 14.9841888998, 0.119999997318, 1.10785446993, 0.0, 0.0, 1600653221.4416, -2.65757210793, 1, 0.0087999998033, 15.0, 0.0, 0.0
336863.063407, 3449336.45173, 14.9841213302, 0.119999997318, 1.17621998411, 0.0, 0.0, 1600653221.4515, -2.65757138989, 1, 0.00999999977648, 15.0, 0.0, 0.0
336863.059054, 3449336.44938, 14.9840623227, 0.119999997318, 1.15709752007, 0.0, 0.0, 1600653221.4616, -2.65757703628, 1, 0.0111999997497, 15.0, 0.0, 0.0
336863.054596, 3449336.44699, 14.9840142253, 0.119999997318, 1.12011485583, 0.0, 0.0, 1600653221.4718, -2.65756380281, 1, 0.0123999997228, 15.0, 0.0, 0.0
336863.050037, 3449336.44456, 14.9839681424, 0.119999997318, 1.12723527239, 0.0, 0.0, 1600653221.4817, -2.65756749637, 1, 0.013599999696, 15.0, 0.0, 0.0
336863.045377, 3449336.44208, 14.9839194237, 0.119999997318, 1.09757875813, 0.0, 0.0, 1600653221.4916, -2.65758174012, 1, 0.0147999996692, 15.0, 0.0, 0.0
336863.04062, 3449336.43955, 14.9838734137, 0.170000001788, 1.04277133583, 0.0, 0.0, 1600653221.5017, -2.65758344621, 1, 0.0164999996871, 15.0, 0.0, 0.0
336863.035769, 3449336.43697, 14.9838358011, 0.170000001788, 1.0421706299, 0.0, 0.0, 1600653221.5115, -2.65761163187, 1, 0.018199999705, 15.0, 0.0, 0.0
336863.030819, 3449336.43436, 14.9838049673, 0.170000001788, 1.0803619793, 0.0, 0.0, 1600653221.5216, -2.6576069341, 1, 0.0198999997228, 15.0, 0.0, 0.0
336863.025769, 3449336.43171, 14.9837837432, 0.170000001788, 1.02665214309, 0.0, 0.0, 1600653221.5317, -2.65762657118, 1, 0.0215999997407, 15.0, 0.0, 0.0
